member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,issue_dt,expr_dt,corp_no,prev_balance,curr_balance,member_code
1,ANDERSON,QDQRJVEINMJYHK, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.773,2000-12-10 10:41:32.773,NULL,0.00,0.00,  
2,BARR,CDGBLYOSQRXGXW, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.773,2000-12-10 10:41:32.773,NULL,0.00,0.00,  
3,CHEN,IIJVRIUE, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.783,2000-12-10 10:41:32.783,NULL,0.00,0.00,  
4,DORR,PULRAUPCEY, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.783,2000-12-10 10:41:32.783,NULL,0.00,0.00,  
5,EFLIN,IHNTOYGVFXJHUX, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.793,2000-12-10 10:41:32.793,NULL,0.00,0.00,  
6,FLORINI,EWMDEVDOOQYUL, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.793,2000-12-10 10:41:32.793,NULL,0.00,0.00,  
7,GOHAN,EIZNNQFUNRMCL, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.803,2000-12-10 10:41:32.803,380,0.00,0.00,  
8,HAHN,AIUWISQYBRPCWX, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.803,2000-12-10 10:41:32.803,NULL,0.00,0.00,  
9,INFANTE,WLTANAWOIKGLQR, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.813,2000-12-10 10:41:32.813,NULL,0.00,0.00,  
10,JONES,MTTDMKJMSQWYIA, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.813,2000-12-10 10:41:32.813,293,0.00,0.00,  
11,KAHRMANN,VJSBVYHVPFQGLG, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.823,2000-12-10 10:41:32.823,NULL,0.00,0.00,  
12,LING,JXSDIDIMJRASJC, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.823,2000-12-10 10:41:32.823,NULL,0.00,0.00,  
13,MAKAI,DNUKQYMLVY, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.833,2000-12-10 10:41:32.833,NULL,0.00,0.00,  
14,NELSON,LVIMUL, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.833,2000-12-10 10:41:32.833,NULL,0.00,0.00,  
